Review_ID,Review
1,จ่ายผ่านบัตรเครดิตไม่ได้ ระบบควรพร้อมก่อนที่จะบังคับย้ายแอป เผลอผูกวอลเลทไป จะกลับไป blue connect ก็ไม่ได้ ตัวหนังสือแจ้งเตือนใส่ไว้เล็กมาก สังเกตุเห็นยาก ควรมีเด้งเตือนก่อนผูกวอลเลท
2,ใช้แอพผูกกับบัตรบลูการ์ดเอาไว้กดแลกคูปองส่วนลด 10% จากค่าห้อง ค่ายาที่รพ ได้
3,ระบบเด้ง/ ค้าง หลังอัพเดทล่าสุด
4,โคดกาก กดยอมรับเงื่อนไขตอนลงทะเบียนแล้วไม่ไป
5,มี Blue Card ใช้แลกรับส่วนลดชานมไข่มุก Kamu ได้ตั้ง 20 บาท
6,ใช้บัตร Blue Card แลกคะแนนรับส่วนลด bbq plaza ได้ด้วยครับ
7,ใช้แอพเชื่อมกับบัตร Blue card ไว้สะสมคะแนน สามารถแลกลดตั๋วหนังได้ครับ
8,แต้มบลูการ์ดใช้แลกโปรส่วนลดตรวจสุขภาพได้เยอะมาก
9,จะลงทะเบียน e-wallet ในรายละเอียดขั้นตอนการลงทะเบียนผ่านตู้ k-bank ID เขียนไว้ว่า ให้ไปที่เมนู profil > ยืนยันตัวตน แต่หาในแอปไม่เจอ จึงยืนยันตัวตนไม่ได้
10,ในแอพแจ้งว่าผูกได้แล้ว แต่จริงๆ ผูกไม่ได้ ทีหลังทดสอบก่อนให้ชัวร์จะได้ไม่เสียหน้าบ่อยๆ
11,เป็นแอปที่คุ้มมากใช้บัตร blue card แบกตั๋ว dream world ในราคาโปร ดีมากครับ
12,ในแอพคือแจกสิทธิพิเศษเยอะมาก ดีสุดๆค่ะ
13,เราใช้แต้ม Blue card อัพไซต์ชานมร้าน Kamu ได้ฟรีด้วยนะ
14,ตอนนี้ wallet มันค่าเริ่มต้นตลอดเลย อยากให้เลือกได้ว่าเอาบัตรเครดิตที่ผูกไว้ เป็นค่าเริ่มต้นได้นะครับ
15,แอพใหม่ โดนบังคับให้ดาวน์โหลด ช้า โหลดนานมาก ทั้งรูปทั้งข้อความ ซื้อคูปองบอกใช้ได้ถึง 31 พ.ย. พอซื้อใช้ได้ถึงสิ้นเดือน
16,ลงทะเบียนสมาชิกแล้วเด้งออกบ่อยมากต้องล็อกอินใหม่ตลอด
17,ดีลดีมาก ลดราคาเยอะสุด ใช้งานยากนิดหน่อย แต่พอชินละสะดวกมาก
18,มีดีลที่น่าสนใจ คิดว่าคงมีเพิ่มในอนาคต
19,ผูกบัตรได้ แต่ใช้ไม่ได้คือ
20,ควรผูกบัตรเครดิตได้ หรือเติมเงินเข้าวอลเลตผ่านบัตรเครดิตได้ พัฒนาด่วนครับ
